Date,Open,High,Low,Close*,Adj Close**,Volume
"Sep 28, 2020",27362.14,27722.6,27362.14,27584.06,27584.06,401860000
"Sep 25, 2020",26694.51,27239.29,26635.38,27173.96,27173.96,388900000
"Sep 24, 2020",26716.09,27094.85,26537.01,26815.44,26815.44,447810000
"Sep 23, 2020",27413.6,27464.46,26716.12,26763.13,26763.13,459470000
"Sep 22, 2020",27170.34,27333.09,26989.93,27288.18,27288.18,420720000
"Sep 21, 2020",27484.71,27484.71,26715.15,27147.7,27147.7,523660000
"Sep 18, 2020",27864.87,27946.69,27487.97,27657.42,27657.42,698710000
"Sep 17, 2020",27834.18,28056.79,27647.93,27901.98,27901.98,437230000
"Sep 16, 2020",28031.69,28364.77,28021.67,28032.38,28032.38,416650000
"Sep 15, 2020",28139.76,28231.06,27931.45,27995.6,27995.6,414520000
"Sep 14, 2020",27718.74,28086.06,27718.74,27993.33,27993.33,380750000
"Sep 11, 2020",27613.86,27828.82,27448.15,27665.64,27665.64,435330000
